job_title,salary_estimate,rating,company_name,location,latitude,longitude,headquarters,size,type_of_ownership,industry,sector,revenue,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadoop,spark,aws,tableau,big_data,job_simp,seniority
Health Data Scientist - Biomedical/Biostats,99-132 ,4.1,Evidation,"Santa Barbara, CA",34.4221319,-119.702667,"San Mateo, CA",51 to 200 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,99,132,115, CA,0,8,1,0,0,0,0,0,0,data scientist,na
Senior Data Scientist,99-132 ,4.0,Autodesk,"San Francisco, CA",37.7790262,-122.419906,"San Rafael, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),99,132,115, CA,0,38,1,0,1,1,0,0,1,data scientist,senior
Staff Data Scientist,99-132 ,4.4,Intuit - Data,"San Diego, CA",32.7174202,-117.1627728,"Mountain View, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),99,132,115, CA,0,37,0,0,0,0,0,0,0,data scientist,na
Data Scientist,99-132 ,3.8,Tecolote Research,"Hill AFB, UT",41.1227542,-111.977344,"Goleta, CA",501 to 1000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),99,132,115, UT,0,47,1,1,0,0,0,1,0,data scientist,na
Sr Data Engineer (Sr BI Developer),99-132 ,3.2,Tivity Health,"Chandler, AZ",33.3062031,-111.8411851,"Franklin, TN",501 to 1000 employees,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,99,132,115, AZ,0,39,0,0,1,0,0,0,1,data engineer,senior
Data Engineer,99-132 ,2.9,hc1,"Indianapolis, IN",39.7683331,-86.1583502,"Indianapolis, IN",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),99,132,115, IN,1,9,1,0,0,0,1,0,0,data engineer,na
Lead Data Scientist,99-132 ,4.1,HP Inc.,"San Diego, CA",32.7174202,-117.1627728,"Palo Alto, CA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,99,132,115, CA,0,81,1,1,1,0,1,0,1,data scientist,senior
Data Scientist,99-132 ,3.7,SAIC,"Chantilly, VA",38.8788355,-77.40221718011088,"Reston, VA",10000+ employees,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD),99,132,115, VA,0,7,1,0,0,0,0,0,0,data scientist,na
RFP Data Analyst,99-132 ,3.2,AllianceBernstein,"Nashville, TN",36.1622767,-86.7742984,"New York, NY",1001 to 5000 employees,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),99,132,115, TN,0,53,0,1,0,1,0,0,0,analyst,na
Data Analyst,99-132 ,4.9,Big Huge Games,"Timonium, MD",39.4475075,-76.5974223220619,"Lutherville Timonium, MD",51 to 200 employees,Subsidiary or Business Segment,Video Games,Media,Unknown / Non-Applicable,99,132,115, MD,0,7,0,1,0,0,0,1,0,analyst,na
Data Scientist (TS/SCI),99-132 ,3.5,Maxar Technologies,"Herndon, VA",38.9695316,-77.3859479,"Westminster, CO",5001 to 10000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),99,132,115, VA,0,-1,1,0,0,0,0,0,1,data scientist,na
Data Engineer,99-132 ,5.0,Phantom AI,"Burlingame, CA",37.5780965,-122.3473099,"Burlingame, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,99,132,115, CA,1,4,1,0,0,0,0,0,0,data engineer,na
Data Scientist,99-132 ,4.0,Noblis,"Reston, VA",38.953055899999995,-77.35021396591173,"Reston, VA",1001 to 5000 employees,Nonprofit Organization,Consulting,Business Services,$100 to $500 million (USD),99,132,115, VA,1,24,1,0,1,1,1,1,0,data scientist,na
Data Scientist,99-132 ,3.6,Spring Health,"New York, NY",40.7127281,-74.0060152,"New York, NY",1 to 50 employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,99,132,115, NY,1,4,1,1,0,0,0,0,0,data scientist,na
Software Engineer - Data Science,99-132 ,4.0,ClearEdge,"Annapolis Junction, MD",39.125459649999996,-76.795323688298,"Annapolis Junction, MD",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),99,132,115, MD,1,18,1,1,1,1,0,0,1,na,na
Data Analyst/Engineer,99-132 ,3.2,AllianceBernstein,"Nashville, TN",36.1622767,-86.7742984,"New York, NY",1001 to 5000 employees,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),99,132,115, TN,0,53,1,1,0,0,0,0,0,analyst,na
NGS Scientist,99-132 ,5.0,Arsenal Biosciences,"South San Francisco, CA",37.6535403,-122.4168664,"South San Francisco, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,99,132,115, CA,1,1,0,1,0,0,0,0,0,na,na
Data Engineer,99-132 ,4.8,GetWellNetwork,"Bethesda, MD",38.98127255,-77.12335871396549,"Bethesda, MD",201 to 500 employees,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),99,132,115, MD,1,20,1,0,0,0,0,0,0,data engineer,na
Data Scientist,99-132 ,4.5,TACG Solutions,"Dayton, OH",39.7589478,-84.1916069,"Beavercreek, OH",51 to 200 employees,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,99,132,115, OH,0,14,1,1,0,0,0,1,0,data scientist,na
Senior Data Engineer,99-132 ,4.7,Scoop,"San Francisco, CA",37.7790262,-122.419906,"San Francisco, CA",51 to 200 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,99,132,115, CA,1,5,1,0,0,1,0,0,0,data engineer,senior
Senior Data Scientist,99-132 ,4.5,Novetta,"Herndon, VA",38.9695316,-77.3859479,"Mc Lean, VA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),99,132,115, VA,0,8,1,1,0,0,1,0,0,data scientist,senior
Data Engineer,99-132 ,4.2,IZEA,"Winter Park, FL",28.5977707,-81.3510264,"Winter Park, FL",51 to 200 employees,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),99,132,115, FL,1,14,1,1,1,1,1,0,0,data engineer,na
Business Intelligence Analyst,99-132 ,3.4,Montway Inc,"Schaumburg, IL",42.0333608,-88.083406,"Schaumburg, IL",51 to 200 employees,Company - Private,Shipping,Transportation & Logistics,Unknown / Non-Applicable,99,132,115, IL,1,14,1,1,0,0,0,1,0,analyst,na
Sr. ML/Data Scientist - AI/NLP/Chatbot,99-132 ,3.8,Juniper Networks,"Cupertino, CA",37.3228934,-122.0322895,"Sunnyvale, CA",5001 to 10000 employees,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),99,132,115, CA,0,24,1,1,0,1,1,0,0,data scientist,senior
Data Scientist,90-109 ,4.7,1904labs,"Saint Louis, MO",38.6280278,-90.1910154,"Saint Louis, MO",51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,90,109,99, MO,1,4,1,0,0,1,0,0,0,data scientist,na
Data Scientist,90-109 ,3.6,XSELL Technologies,"Chicago, IL",41.8755616,-87.6244212,"Chicago, IL",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,90,109,99, IL,1,6,1,0,0,0,0,0,0,data scientist,na
Data Engineer,90-109 ,4.2,IZEA,"Winter Park, FL",28.5977707,-81.3510264,"Winter Park, FL",51 to 200 employees,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),90,109,99, FL,1,14,1,1,1,1,1,0,0,data engineer,na
Sr. ML/Data Scientist - AI/NLP/Chatbot,90-109 ,3.8,Juniper Networks,"Cupertino, CA",37.3228934,-122.0322895,"Sunnyvale, CA",5001 to 10000 employees,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),90,109,99, CA,0,24,1,1,0,1,1,0,0,data scientist,senior
Data Scientist,90-109 ,5.0,Notion Labs,"San Francisco, CA",37.7790262,-122.419906,"San Francisco, CA",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,90,109,99, CA,1,4,0,0,0,0,0,0,0,data scientist,na
Senior Data Engineer,90-109 ,4.9,Lendio,"Lehi, UT",40.41389985,-111.89625256792903,"Lehi, UT",201 to 500 employees,Company - Private,Lending,Finance,$50 to $100 million (USD),90,109,99, UT,1,9,1,0,1,1,1,0,1,data engineer,senior
Data Engineer,90-109 ,4.4,Direct Agents,"Culver City, CA",34.0211224,-118.396466,"New York, NY",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),90,109,99, CA,0,17,1,1,0,0,0,0,0,data engineer,na
Data Scientist,90-109 ,3.3,NAVEX Global,"Lake Oswego, OR",45.4206749,-122.670649,"Lake Oswego, OR",1001 to 5000 employees,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),90,109,99, OR,1,8,1,0,0,1,0,1,0,data scientist,na
Senior Data Engineer,90-109 ,4.9,Lendio,"Lehi, UT",40.41389985,-111.89625256792903,"Lehi, UT",201 to 500 employees,Company - Private,Lending,Finance,$50 to $100 million (USD),90,109,99, UT,1,9,1,0,1,1,1,0,1,data engineer,senior
Data Scientist,90-109 ,4.2,Upstart,"San Mateo, CA",37.496904,-122.3330573,"San Mateo, CA",201 to 500 employees,Company - Private,Lending,Finance,Unknown / Non-Applicable,90,109,99, CA,1,8,1,0,0,0,0,0,0,data scientist,na
Data Analyst,90-109 ,4.5,Envision LLC,"San Francisco, CA",37.7790262,-122.419906,"Saint Louis, MO",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),90,109,99, CA,0,26,1,0,1,1,0,1,1,analyst,na
Data Engineer,90-109 ,4.8,AppLovin,"Palo Alto, CA",37.4443293,-122.1598465,"Palo Alto, CA",201 to 500 employees,Company - Private,Video Games,Media,Unknown / Non-Applicable,90,109,99, CA,1,8,0,1,1,1,0,0,1,data engineer,na
Data Integration and Modeling Engineer,90-109 ,3.8,ISO New England,"Holyoke, MA",42.2071434,-72.60765,"Holyoke, MA",501 to 1000 employees,Nonprofit Organization,Utilities,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,90,109,99, MA,1,23,0,1,0,0,0,0,0,na,na
Tableau Data Engineer 20-0117,90-109 ,3.7,Relativity,"Chicago, IL",41.8755616,-87.6244212,"Chicago, IL",1001 to 5000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,90,109,99, IL,1,19,0,1,0,1,0,1,0,data engineer,na
Senior Data Scientist,90-109 ,3.3,Tempo Automation,"San Francisco, CA",37.7790262,-122.419906,"San Francisco, CA",51 to 200 employees,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 million (USD),90,109,99, CA,1,7,1,0,1,1,1,1,1,data scientist,senior
AI Data Scientist,90-109 ,3.3,MITRE,"McLean, VA",38.93668525,-77.1858267942485,"Bedford, MA",5001 to 10000 employees,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),90,109,99, VA,0,62,1,0,0,0,0,0,0,data scientist,na
Machine Learning Engineer,90-109 ,5.0,"Expedition Technology, Inc.","Herndon, VA",38.9695316,-77.3859479,"Dulles, VA",1 to 50 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),90,109,99, VA,0,7,1,1,0,0,0,0,0,mle,na
Research Scientist Patient Preferences (Remote),90-109 ,3.8,Evidera,"Bethesda, MD",38.98127255,-77.12335871396549,"Bethesda, MD",501 to 1000 employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),90,109,99, MD,1,7,0,1,0,0,0,0,0,na,na
Data Scientist,90-109 ,3.4,Plymouth Rock Assurance,"Woodbridge, NJ",40.55418,-74.28600076944446,"Boston, MA",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),90,109,99, NJ,0,38,0,1,0,0,0,0,0,data scientist,na
Scientist - Biomarker and Flow Cytometry,90-109 ,2.4,Crown Bioscience,"San Diego, CA",32.7174202,-117.1627728,"San Diego, CA",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),90,109,99, CA,1,14,0,0,0,0,0,0,0,na,na
Data Scientist,90-109 ,2.9,GNS Healthcare,"Cambridge, MA",42.3750997,-71.1056157,"Cambridge, MA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),90,109,99, MA,1,20,0,0,0,0,1,0,1,data scientist,na
Analytics Manager,90-109 ,4.4,OneMagnify,"Dearborn, MI",42.3222599,-83.1763145,"Detroit, MI",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,90,109,99, MI,0,53,0,1,0,0,0,1,0,manager,na
Data Scientist,90-109 ,2.9,SPECTRUM,"Maryland Heights, MO",38.7150511,-90.435999,"Stamford, CT",10000+ employees,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),90,109,99, MO,0,4,1,1,1,0,0,0,1,data scientist,na
Staff Scientist- Upstream PD,90-109 ,2.7,Advanced BioScience Laboratories,"Rockville, MD",39.0817985,-77.1516844,"Rockville, MD",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),90,109,99, MD,1,59,0,0,0,0,0,0,0,na,na
Data Engineer,90-109 ,4.2,Procore Technologies,"Carpinteria, CA",34.3988838,-119.5184564,"Carpinteria, CA",1001 to 5000 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,90,109,99, CA,1,18,1,1,1,1,1,0,0,data engineer,na
Sr Scientist - Extractables & Leachables,90-109 ,3.5,Ritedose,"Columbia, SC",34.0007493,-81.0343313,"Columbia, SC",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),90,109,99, SC,1,25,0,1,0,0,0,0,0,na,senior
ELISA RESEARCH SCIENTIST (CV-15),90-109 ,0.0,Covid-19 Search Partners,"Hauppauge, NY",40.8256537,-73.2026138,-1,-1,-1,-1,-1,-1,90,109,99, NY,0,-1,0,0,0,0,0,0,0,na,na
Sr Data Scientist,90-109 ,4.2,bioMérieux,"Saint Louis, MO",38.6280278,-90.1910154,"Marcy-l'Etoile, France",10000+ employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),90,109,99, MO,0,57,1,1,0,0,0,0,0,data scientist,senior
Data Scientist,101-165 ,4.5,Novetta,"Herndon, VA",38.9695316,-77.3859479,"Mc Lean, VA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),101,165,133, VA,0,8,1,1,0,0,1,0,0,data scientist,na
Experienced Data Scientist,101-165 ,4.4,Guzman & Griffin Technologies (GGTI),"Washington, DC",38.8950368,-77.0365427,"Mays Landing, NJ",1 to 50 employees,Company - Private,Federal Agencies,Government,Unknown / Non-Applicable,101,165,133, DC,0,23,1,1,1,1,0,1,0,data scientist,na
Machine Learning Engineer,101-165 ,0.0,Radical Convergence,"Reston, VA",38.953055899999995,-77.35021396591173,-1,-1,-1,-1,-1,-1,101,165,133, VA,0,-1,1,0,0,0,0,0,0,mle,na
Data Scientist,101-165 ,3.5,Leidos,"Fort Meade, MD",39.103197949999995,-76.74651732045955,"Reston, VA",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),101,165,133, MD,0,51,0,0,0,0,1,0,1,data scientist,na
Data Scientist,101-165 ,4.5,Demandbase,"San Francisco, CA",37.7790262,-122.419906,"San Francisco, CA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),101,165,133, CA,1,14,1,0,0,1,1,0,1,data scientist,na
Say Business Data Analyst,101-165 ,4.1,Shelter Insurance,"Columbia, MO",38.951883,-92.3337366,"Columbia, MO",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),101,165,133, MO,1,74,1,1,0,0,1,1,0,analyst,na
Geospatial Data Scientist,101-165 ,3.5,Maxar Technologies,"Chantilly, VA",38.8788355,-77.40221718011088,"Westminster, CO",5001 to 10000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),101,165,133, VA,0,-1,0,0,0,0,0,0,0,data scientist,na
Data Analyst,101-165 ,2.7,USAC,"Washington, DC",38.8950368,-77.0365427,"Washington, DC",501 to 1000 employees,Nonprofit Organization,Telecommunications Services,Telecommunications,$25 to $50 million (USD),101,165,133, DC,1,23,1,1,0,0,0,0,0,analyst,na
Computational Scientist,101-165 ,3.4,General Dynamics Information Technology,"Vicksburg, MS",32.3528055,-90.8777342,"Fairfax, VA",10000+ employees,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),101,165,133, MS,0,24,0,0,0,0,0,0,0,na,na
Data Scientist,101-165 ,4.4,Offerpad,"Chandler, AZ",33.3062031,-111.8411851,"Chandler, AZ",201 to 500 employees,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,101,165,133, AZ,1,5,1,1,0,0,0,0,0,data scientist,na
Senior Data Analyst,101-165 ,4.0,Autodesk,"San Francisco, CA",37.7790262,-122.419906,"San Rafael, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),101,165,133, CA,0,38,1,0,1,1,0,0,1,analyst,senior
Senior Data Analyst,101-165 ,4.2,Autodesk,"San Francisco, CA",37.7790262,-122.419906,"Herndon, VA",5001 to 10000 employees,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),101,165,133, CA,0,52,1,0,1,1,0,1,1,analyst,senior
Data Engineer,101-165 ,3.5,Magna International Inc.,"Birmingham, AL",33.5206824,-86.8024326,"Aurora, Canada",10000+ employees,Company - Public,-1,-1,$10+ billion (USD),101,165,133, AL,0,63,1,0,1,1,1,0,1,data engineer,na
Sr Data Analyst,101-165 ,2.3,United BioSource,"Blue Bell, PA",40.152331,-75.266289,"Blue Bell, PA",1001 to 5000 employees,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),101,165,133, PA,1,17,0,1,0,0,0,1,0,analyst,senior
Data Scientist,101-165 ,3.4,Kelly,"Chicago, IL",41.8755616,-87.6244212,"Troy, MI",5001 to 10000 employees,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD),101,165,133, IL,0,74,0,1,0,0,0,0,0,data scientist,na
"Machine Learning Scientist - Bay Area, CA",101-165 ,3.3,Tempus Labs,"Redwood City, CA",37.4863239,-122.232523,"Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,101,165,133, CA,0,5,1,0,0,0,1,0,0,mle,na
Data Scientist,101-165 ,4.7,C3.ai,"Redwood City, CA",37.4863239,-122.232523,"Redwood City, CA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),101,165,133, CA,1,11,1,1,0,0,0,0,0,data scientist,na
Senior Data Scientist - Algorithms,101-165 ,3.9,Quartet Health,"New York, NY",40.7127281,-74.0060152,"New York, NY",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,101,165,133, NY,1,6,1,0,1,0,0,0,0,data scientist,senior
Data Analyst,101-165 ,3.3,Midland Credit Management,"San Diego, CA",32.7174202,-117.1627728,"San Diego, CA",1001 to 5000 employees,Subsidiary or Business Segment,Banks & Credit Unions,Finance,$1 to $2 billion (USD),101,165,133, CA,1,67,1,1,0,0,0,0,0,analyst,na
Senior Data & Machine Learning Scientist,101-165 ,3.3,Tempus Labs,"Chicago, IL",41.8755616,-87.6244212,"Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,101,165,133, IL,1,5,1,0,0,0,1,0,0,mle,senior
Data Engineer,101-165 ,4.4,Resurgent Capital Services,"Cincinnati, OH",39.1014537,-84.5124602,"Greenville, SC",201 to 500 employees,Company - Private,Venture Capital & Private Equity,Finance,$50 to $100 million (USD),101,165,133, OH,0,22,1,1,0,0,1,0,0,data engineer,na
"Data Scientist - Statistics, Early Career",56-97 ,3.7,PNNL,"Richland, WA",46.2804298,-119.275205,"Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),56,97,76, WA,1,55,0,1,0,0,0,0,0,data scientist,na
Data Scientist,56-97 ,3.5,Buckman,"Memphis, TN",35.1460249,-90.0517638,"Memphis, TN",1001 to 5000 employees,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),56,97,76, TN,1,75,1,0,1,0,0,0,0,data scientist,na
Machine Learning Engineer,56-97 ,3.6,Buckman,"Memphis, TN",35.1460249,-90.0517638,"Arlington, VA",501 to 1000 employees,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million (USD),56,97,76, TN,0,53,1,0,0,0,0,0,0,mle,na
Research Scientist - Patient-Centered Research (Remote),56-97 ,3.8,Evidera,"Bethesda, MD",38.98127255,-77.12335871396549,"Bethesda, MD",501 to 1000 employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),56,97,76, MD,1,7,0,1,0,0,0,0,0,na,na
Jr. Business Data Analyst (position added 6/12/2020),56-97 ,4.7,webfx.com,"Harrisburg, PA",40.2663107,-76.8861122,"Harrisburg, PA",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),56,97,76, PA,1,23,0,1,0,0,0,0,0,analyst,jr
Sr. Data Scientist II,56-97 ,3.5,Argo Group US,"New York, NY",40.7127281,-74.0060152,"Hamilton, Bermuda",1001 to 5000 employees,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),56,97,76, NY,0,72,1,0,1,1,1,0,0,data scientist,senior
Data Scientist,56-97 ,3.3,BWX Technologies,"Oak Ridge, TN",36.0103562,-84.2696449,"Lynchburg, VA",5001 to 10000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),56,97,76, TN,0,170,1,0,0,0,0,0,0,data scientist,na
Senior Data Analyst,56-97 ,3.9,Life360,"San Francisco, CA",37.7790262,-122.419906,"San Francisco, CA",51 to 200 employees,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,56,97,76, CA,1,12,1,0,0,0,0,1,0,analyst,senior
Lead Data Scientist,56-97 ,3.7,MassMutual,"Boston, MA",42.3554334,-71.060511,"Springfield, MA",5001 to 10000 employees,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),56,97,76, MA,0,169,1,0,1,1,1,0,0,data scientist,senior
Production Engineer - Statistics/Data Analysis,56-97 ,3.9,Natera,"San Carlos, CA",37.504936,-122.261823,"San Carlos, CA",501 to 1000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),56,97,76, CA,1,16,1,1,0,0,1,0,0,na,na
Statistical Scientist,56-97 ,4.0,Genentech,"South San Francisco, CA",37.6535403,-122.4168664,"South San Francisco, CA",10000+ employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),56,97,76, CA,1,44,1,1,0,0,1,0,0,na,na
Computational Behavioral Scientist,56-97 ,4.2,Ntrepid,"Herndon, VA",38.9695316,-77.3859479,"Herndon, VA",201 to 500 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),56,97,76, VA,1,10,1,0,0,0,0,0,0,na,na
Principal Data Scientist - Machine Learning,56-97 ,3.6,Constant Contact,"Waltham, MA",42.3756401,-71.2358004,"Waltham, MA",Unknown,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,56,97,76, MA,1,25,1,1,1,1,1,0,1,data scientist,senior
Principal Machine Learning Scientist,56-97 ,4.7,Sage Intacct,"San Francisco, CA",37.7790262,-122.419906,"San Jose, CA",501 to 1000 employees,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,56,97,76, CA,0,21,1,0,0,0,0,0,0,mle,senior
Data Engineer,56-97 ,4.1,Shape Security,"Santa Clara, CA",37.2333253,-121.6846349,"Mountain View, CA",51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,56,97,76, CA,0,9,1,0,0,0,1,0,1,data engineer,na
Principal Data Scientist,56-97 ,4.0,AstraZeneca,"Gaithersburg, MD",39.1399187,-77.1929215,"Cambridge, United Kingdom",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),56,97,76, MD,0,107,1,1,0,0,0,0,0,data scientist,senior
Data Scientist,56-97 ,5.0,SkillSoniq,"San Francisco, CA",37.7790262,-122.419906,"Jersey City, NJ",Unknown,Company - Public,-1,-1,Unknown / Non-Applicable,56,97,76, CA,0,-1,1,0,0,0,0,0,0,data scientist,na
Senior Data Scientist - R&D Oncology,56-97 ,4.0,AstraZeneca,"New York, NY",40.7127281,-74.0060152,"Cambridge, United Kingdom",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),56,97,76, NY,0,107,1,0,0,0,0,0,0,data scientist,senior
Data Scientist,56-97 ,4.3,Joby Aviation,"San Carlos, CA",37.504936,-122.261823,"Santa Cruz, CA",51 to 200 employees,Company - Private,-1,-1,Unknown / Non-Applicable,56,97,76, CA,0,-1,1,1,0,1,1,0,1,data scientist,na
"Health Plan Data Analyst, Sr",56-97 ,3.8,Cook Children's Health Care System,"Fort Worth, TX",32.753177,-97.3327459,"Fort Worth, TX",5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),56,97,76, TX,1,102,0,0,0,0,0,0,0,analyst,senior
"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",56-97 ,3.8,Rubius Therapeutics,"Smithfield, RI",41.9220433,-71.549507,"Cambridge, MA",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),56,97,76, RI,0,7,0,0,0,0,0,0,0,director,senior
Analytics - Business Assurance Data Analyst,56-97 ,4.6,GreatAmerica Financial Services,"Cedar Rapids, IA",41.9758872,-91.6704053,"Cedar Rapids, IA",501 to 1000 employees,Company - Private,Lending,Finance,$100 to $500 million (USD),56,97,76, IA,1,28,0,1,0,0,0,1,0,analyst,na
Data Scientist,79-106 ,3.4,Spectrum Communications and Consulting,"Chicago, IL",41.8755616,-87.6244212,"Chicago, IL",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),79,106,92, IL,1,28,0,0,0,0,0,0,0,data scientist,na
Data Scientist,79-106 ,4.1,Coverent,"McLean, VA",38.93668525,-77.1858267942485,"McLean, VA",51 to 200 employees,Company - Private,Consulting,Business Services,$10 to $25 million (USD),79,106,92, VA,1,12,1,1,0,0,0,0,0,data scientist,na
Machine Learning Engineer,79-106 ,3.7,Mteq,"Fort Belvoir, VA",38.72821225,-77.15098291295884,"Lorton, VA",501 to 1000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),79,106,92, VA,0,66,1,0,0,0,0,0,0,mle,na
